"","trend","redlist","regio","biog","activ","diet","winter","color","breed","body","wing","period"
"sp1","1","1","1","1","3","2","2","1","3","5","1","3"
"sp2","1","1","4","3","3","2","2","1","3","5","1","2"
"sp3","2","2","2","3","3","2","2","2","1","5","1","1"
"sp4","3","2","2","1","2","1","2","2","3","3","3","1"
"sp5","1","1","1","1","3","1","2","2","3","2","3","1"
"sp6","2","1","1","1","3","2","2","1","3","4","3","1"
"sp7","1","1","1","2","3","2","2","1","3","4","3","1"
"sp8","2","1","4","2","1","1","1","2","2","1","2","1"
"sp9","1","1","3","2","1","1","2","2","2","1","2","2"
"sp10","2","1","2","1","1","1","2","2","2","1","2","2"
"sp11","2","1","2","2","2","2","2","1","1","2","2","1"
"sp12","2","1","3","2","1","2","1","1","1","1","2","1"
"sp13","2","1","1","2","3","1","2","1","3","1","2","3"
"sp14","2","2","4","3","1","2","1","1","1","1","3","2"
"sp15","2","1","4","3","1","2","1","2","2","4","3","2"
"sp16","3","2","4","1","1","2","1","2","1","5","3","1"
"sp17","1","1","1","1","3","3","2","1","3","5","1","3"
"sp18","1","1","3","3","3","2","2","1","2","1","2","2"
"sp19","3","2","4","2","3","3","2","1","3","2","2","2"
"sp20","2","2","2","1","3","2","2","1","1","2","1","2"
"sp21","3","2","4","2","3","2","2","1","3","2","2","3"
"sp22","2","1","4","2","3","2","2","1","3","2","2","3"
"sp23","3","2","4","3","3","2","2","1","3","3","2","3"
"sp24","2","1","3","2","3","2","2","1","3","4","2","3"
"sp25","1","1","4","3","1","3","2","2","1","2","3","1"
"sp26","1","1","4","3","1","3","1","2","2","2","3","1"
"sp27","2","1","3","2","2","3","1","1","1","4","3","1"
"sp28","2","1","1","2","3","3","2","1","2","5","3","3"
"sp29","1","1","2","2","3","3","2","2","1","4","3","2"
"sp30","2","2","3","2","2","3","2","1","2","4","3","1"
"sp31","2","1","4","3","1","3","2","1","2","3","3","2"
"sp32","3","2","4","2","1","3","1","1","2","3","3","2"
"sp33","2","1","3","2","1","3","1","1","2","3","3","2"
"sp34","1","2","3","2","2","2","2","1","1","2","3","1"
"sp35","2","1","3","2","1","2","1","1","1","1","2","1"
"sp36","2","1","3","1","2","2","1","2","3","2","3","3"
